,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
8024,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,72000,USD,1091692.8,72000,,32,,2250,,1,,http://ramos-mejia.properati.com.ar/sboq_venta_departamentos_la-matanza
8025,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.506233,-58.5158177",135000,USD,2046924,135000,51,51,2647.058824,2647.058824,3,,,http://olivos.properati.com.ar/n40n_venta_departamentos_olivos_parana_3200
8026,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5113645,-58.4903027",85000,USD,1288804,85000,0,35,,2428.571429,3,,,http://olivos.properati.com.ar/zmrp_venta_departamentos_olivos_gutierrez-ricardo_1500_luminoso_aire-acondicionado_tizado-vicente-lopez
8027,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4122817,-58.5867961",160000,USD,2425984,160000,0,69,,2318.84058,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/s43a_venta_departamentos_tigre
8028,sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6205274,-58.4205899",240000,USD,3638976,240000,150,114,1600,2105.263158,,6,,http://almagro.properati.com.ar/11xf0_venta_ph_almagro_baulera_lavadero_parrilla_patio_terraza_interwin-marketing-inmobiliario_9ic
8029,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|Loma Verde|,,172000,USD,2607932.8,172000,150,150,1146.666667,1146.666667,,,,http://loma-verde.properati.com.ar/zzbp_venta_casa_loma-verde_suite_lavadero_parrilla_toilette_vestidor_estrenar_azul-propiedades
8030,sell,apartment,|Argentina|Capital Federal|Villa Urquiza|,"-34.5679755,-58.4853085",101200,USD,1534434.88,101200,49,43,2065.306122,2353.488372,5,,,http://villa-urquiza.properati.com.ar/12ij3_venta_departamentos_villa-urquiza_balcon_toilette_placard_subte-linea-b_lepore-propiedades-palermo
8031,sell,apartment,|Argentina|Capital Federal|Once|,"-34.599847,-58.408123",90000,USD,1364616,90000,,52,,1730.769231,,3,,http://once.properati.com.ar/10ab8_venta_departamentos_san-nicolas_patio_re-max-splendid
8032,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,"-38.9525611,-68.1199861",380000,USD,5761712,380000,300,300,1266.666667,1266.666667,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/yc93_venta_casa_pilar_pilar_100_balcon_suite_lavadero_parrilla_piscina_quincho_toilette_vestidor_dependencias_garage_aire-acondicionado_bustamante-propiedades_be7
8033,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5045509,-58.4995655",230000,USD,3487352,230000,0,120,,1916.666667,,4,,http://olivos.properati.com.ar/vicx_venta_casa_olivos
8034,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,"-34.499655,-58.4954303",230000,USD,3487352,230000,0,120,,1916.666667,,,,http://la-lucila.properati.com.ar/115n6_venta_casa_la-lucila_diaz-velez-av_1300_tizado-acassuso
8035,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Martín|,"-34.537631,-58.5867796",50000,USD,758120,50000,310,95,161.2903226,526.3157895,,,,http://san-martin.properati.com.ar/efq2_venta_casa_san-martin
8036,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.595472,-58.443569",162000,USD,2456308.8,162000,80,80,2025,2025,11,,1900,http://villa-crespo.properati.com.ar/10dul_venta_departamentos_villa-crespo_toilette_luminoso_aris-propiedades
8037,sell,apartment,|Argentina|Capital Federal|Boca|,"-34.6276318,-58.3589352",105000,USD,1592052,105000,97,97,1082.474227,1082.474227,,3,3000,http://boca.properati.com.ar/10t7j_venta_departamentos_boca_luminoso_di-mitrio-inmobiliaria_d2r
8038,sell,store,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,370000,USD,5610088,370000,,360,,1027.777778,,,,http://ramos-mejia.properati.com.ar/y0io_venta_local_ramos-mejia_garage_rosso-propiedades_bw4
8039,sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|City Bell|,"-34.871303,-58.054088",148000,USD,2244035.2,148000,128,128,1156.25,1156.25,,3,,http://city-bell.properati.com.ar/ox77_venta_casa_city-bell
8040,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.42470169,-58.65830994",155000,USD,2350172,155000,,,,,,,,http://nordelta.properati.com.ar/xnxc_venta_departamentos_nordelta_jardin_parrilla_aire-acondicionado
8041,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,,,,,,,,,,,,http://nordelta.properati.com.ar/ztmi_venta_casa_nordelta_balcon_suite_parrilla_piscina_sum_vestidor_dependencias_placard_m-m-propiedades_bhs
8042,sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.6200053,-58.4326412",150000,USD,2274360,150000,72,72,2083.333333,2083.333333,4,4,2600,http://almagro.properati.com.ar/rtyj_venta_departamentos_almagro_guayaquil_200
8043,sell,PH,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Maipu|,"-34.568076,-58.533841",95000,USD,1440428,95000,,78,,1217.948718,,3,,http://villa-maipu.properati.com.ar/zrci_venta_ph_general-san-martin_lavadero_patio_terraza_garage_re-max-ayres-ii
8044,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,185000,USD,2805044,185000,0,55,,3363.636364,,2,,http://nordelta.properati.com.ar/wrkt_venta_departamentos_nordelta
8045,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Tigre|,"-34.421319,-58.577082",105000,USD,1592052,105000,,58,,1810.344828,,2,,http://tigre.properati.com.ar/zl15_venta_departamentos_tigre_balcon_lavadero_parrilla_terraza_luminoso_garage_re-max-data-house
8046,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Pilar|,,335000,USD,5079404,335000,,,,,,,,http://pilar-bs-as-g-b-a-zona-norte.properati.com.ar/x2sg_venta_casa_barrio-cerrado-la-retama
8047,sell,house,|Argentina|Capital Federal|Barracas|,"-34.6483959,-58.3707768",280000,USD,4245472,280000,290,,965.5172414,,,6,,http://barracas.properati.com.ar/wftd_venta_casa_barracas
8048,sell,house,|Argentina|Capital Federal|Villa del Parque|,"-34.6065322,-58.4875587",210000,USD,3184104,210000,0,140,,1500,,3,,http://villa-del-parque.properati.com.ar/ysno_venta_casa_villa-del-parque_balcon_parrilla_patio_terraza_toilette_luminoso_garage_impecable_grupo-mega-pulvirenti
8049,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4892823,-58.498027",180000,USD,2729232,180000,87,78,2068.965517,2307.692308,2,,,http://martinez.properati.com.ar/11izi_venta_departamentos_martinez_ladislao-martinez_200_balcon_baulera_lavadero_garage_blume-propiedades
8050,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.4465229,-58.6338743",650000,USD,9855560,650000,200,200,3250,3250,,,,http://nordelta.properati.com.ar/10ebr_venta_casa_nordelta_suite_lavadero_parrilla_piscina_toilette_dependencias_tenis_get-negocios-inmobiliarios
8051,sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|,"-34.6928238605,-58.5105685443",145000,USD,2198548,145000,,,,,,,,http://la-matanza.properati.com.ar/g5t4_venta_casa_la-matanza
8052,sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Villa Centenario|,"-34.7253526875,-58.435049681",69000,USD,1046205.6,69000,,102,,676.4705882,,,,http://villa-centenario-lomas-de-zamora.properati.com.ar/12ui2_venta_casa_villa-centenario_jardin_lavadero_terraza_garage_placard_doble-circulacion_izquierdo-propiedades_4wl
8053,sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,"-34.5364444,-58.5498314",,,,,0,197,,,,6,,http://villa-ballester.properati.com.ar/orwf_venta_casa_villa-ballester
8054,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5759862,-58.4390397",133000,USD,2016599.2,133000,40,34,3325,3911.764706,,,,http://belgrano.properati.com.ar/e5xj_venta_departamento_belgrano
8055,sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Santos Lugares|,"-34.6024746,-58.5499499",70000,USD,1061368,70000,117,44,598.2905983,1590.909091,,3,,http://santos-lugares.properati.com.ar/102vr_venta_departamentos_santos-lugares_baulera_lavadero_patio_terraza_luminoso_pablo-yaryuya-propiedades
